ID;Active;Name;Categories;Price;Tax;"Wholesale price";OnSale;Discount;DiscountPercent;DiscountFrom;DiscountTo;Reference;SupplierReference;Supplier;Manufacturer;Ean13;Upc;Ecotax;Width;Height;Depth;Weight;Quantity;MinimalQuantity;Visibility;AdditionalShippingCost;Unity;UnityPrice;ShortDescription;Description;Tags;Metatitle;MetaKeywords;MetaDescription;UrlRewritten;TextStock;TextBackorder;Avaiable;ProductAvaiableDate;ProductCreationDate;ShowPrice;ImageUrls;DeleteExistingImages;Feature;AvaiableOnline;Condition;Customizable;Uploadable;TextFields;OutStock;IdNameShop;AdvancedStockManagement;DependsOnStock;Warehouse
3001;1;;180;;31;;;;;;;3001;;;;;;;;;;;100;1;both;;;;"Caseta de madera Nemo-28
 Fabricada en madera de abeto
Medidas: 250 x 250 cm.
Medidas interiores: 230 x 230 cm.
Altura total: 234 cm.
Grosor...";;;;;"Caseta de madera Nemo-28
 Fabricada en madera de abeto
Medidas: 250 x 250 cm.
Medidas interiores: 230 x 230 cm.
Altura total: 234 cm.
Grosor...";;;;;;;;;;;1;new;0;0;0;0;1;;;
3002;1;;180;;31;;;;;;;3002;;;;;;;;;;;100;1;both;;;;"Caseta de madera machihembrada de grosor 19mm, con un frontal de 2,60m y una profundidad de 2,00.
Incluye una puerta de madera con plexiglás, ...";;;;;"Caseta de madera machihembrada de grosor 19mm, con un frontal de 2,60m y una profundidad de 2,00.
Incluye una puerta de madera con plexiglás, ...";;;;;;;;;;;1;new;0;0;0;0;1;;;
3003;1;;180;;31;;;;;;;3003;;;;;;;;;;;100;1;both;;;;"Caseta de jardin infantil Marina de Forest Style.
- Fácil montaje en una hora, totalmente modular.
- Con suelo de madera
- Ideal como caseta...";;;;;"Caseta de jardin infantil Marina de Forest Style.
- Fácil montaje en una hora, totalmente modular.
- Con suelo de madera
- Ideal como caseta...";;;;;;;;;;;1;new;0;0;0;0;1;;;
3004;1;;180;;31;;;;;;;3004;;;;;;;;;;;100;1;both;;;;"Caseta de madera infantil Aroa (SIN PINTAR) panelada de 16 mm de grosor y uniones reforzadas de 40 mm.
Incluye suelo de madera, 1er piso con esc...";;;;;"Caseta de madera infantil Aroa (SIN PINTAR) panelada de 16 mm de grosor y uniones reforzadas de 40 mm.
Incluye suelo de madera, 1er piso con esc...";;;;;;;;;;;1;new;0;0;0;0;1;;;
3005;1;;180;;31;;;;;;;3005;;;;;;;;;;;100;1;both;;;;"Suelo de madera especialmente diseñado para la caseta Dakro. El suelo está fabricado con madera de 1a calidad y un grosor de 16mm....";;;;;"Suelo de madera especialmente diseñado para la caseta Dakro. El suelo está fabricado con madera de 1a calidad y un grosor de 16mm....";;;;;;;;;;;1;new;0;0;0;0;1;;;
3006;1;;180;;31;;;;;;;3006;;;;;;;;;;;100;1;both;;;;"Bonito suelo de madera para caseta modelo  FRA19-2121FSC.
Este suelo es machihembrado para una mayor fijación y tiene un grosor de 16mm....";;;;;"Bonito suelo de madera para caseta modelo  FRA19-2121FSC.
Este suelo es machihembrado para una mayor fijación y tiene un grosor de 16mm....";;;;;;;;;;;1;new;0;0;0;0;1;;;
3007;1;;180;;31;;;;;;;3007;;;;;;;;;;;100;1;both;;;;"Bonito suelo de madera para caseta modelo  FRA19-3220FSC.
Este suelo es machihembrado para una mayor fijación y tiene un grosor de 16mm....";;;;;"Bonito suelo de madera para caseta modelo  FRA19-3220FSC.
Este suelo es machihembrado para una mayor fijación y tiene un grosor de 16mm....";;;;;;;;;;;1;new;0;0;0;0;1;;;
3008;1;;180;;31;;;;;;;3008;;;;;;;;;;;100;1;both;;;;"Cobertizo / Trastero Modelo Mad Smart Mini panelado de 16 mm. de grosor.
- Instalación lateral con doble puerta.
- No incluye pared trasera....";;;;;"Cobertizo / Trastero Modelo Mad Smart Mini panelado de 16 mm. de grosor.
- Instalación lateral con doble puerta.
- No incluye pared trasera....";;;;;;;;;;;1;new;0;0;0;0;1;;;
3009;1;;181;;31;;;;;;;3009;;;;;;;;;;;100;1;both;;;;"Caseta metálica de Wolder Brico de 4,72 m2.
- Medidas exteriores 261x181x198 cm, interiores 251x171 cm.
- Puerta abierta 109x157 cm.
- Groso...";;;;;"Caseta metálica de Wolder Brico de 4,72 m2.
- Medidas exteriores 261x181x198 cm, interiores 251x171 cm.
- Puerta abierta 109x157 cm.
- Groso...";;;;;;;;;;;1;new;0;0;0;0;1;;;
3010;1;;181;;31;;;;;;;3010;;;;;;;;;;;100;1;both;;;;"Caseta metálica Wolder Brico, grande.
- Caseta metálica 7,86 m2. Medidas exteriores 261x301x198 cm, interiores 251x291 cm.
- Puerta ab...";;;;;"Caseta metálica Wolder Brico, grande.
- Caseta metálica 7,86 m2. Medidas exteriores 261x301x198 cm, interiores 251x291 cm.
- Puerta ab...";;;;;;;;;;;1;new;0;0;0;0;1;;;
