ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-para-sartenes.jpg
33;1;"Baterías de cocina";20;0;"Baterías de cocina";"Baterías de cocina";"Baterías de cocina";"Baterías de cocina";" ";
34;1;"Potes hervidores";20;0;"Potes hervidores";"Potes hervidores";"Potes hervidores";"Potes hervidores";" ";
35;1;Cazos;20;0;Cazos;Cazos;Cazos;Cazos;" ";
36;1;"Tapas sueltas y recambios para ollas";20;0;"Tapas sueltas y recambios para ollas";"Tapas sueltas y recambios para ollas";"Tapas sueltas y recambios para ollas";"Tapas sueltas y recambios para ollas";" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-y-cacerolas.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/ollas-a-presion_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cacerolas_y_cazos_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cocottes_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/cazuelas-de-barro_1.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/paellas_y_paelleras.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/bater_as_de_cocina.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Pote_con_asa_inox.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/Cazo_Recto_Basic_Lacor.jpg
;1;;;0;;;;;" ";https://ferreteria.es/media/catalog/category/tapas-sueltas-y-_recambios-para-olla.jpg
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
;1;;;0;;;;;" ";
