ID;"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
147;1;"Accesorios para botellas de vino y cava";145;0
148;1;"Accesorios para cóctel";145;0
149;1;"Enfriadores y cubiteras";145;0
150;1;"Otros utensilios de bebida";145;0
151;1;"Filtros y jarras Brita";145;0
152;1;"Botellas y jarras";145;0
153;1;"Textil cocina";64;0
154;1;"Guantes y manoplas de cocina";153;0
155;1;"Hules y manteles";153;0
156;1;"Salvaplatos y portabolsas";153;0
157;1;"Paños de cocina y delantales";153;0
158;1;"Salvamanteles y pinzas para manteles";153;0
159;1;"Grifos de cocina";64;0
160;1;"Muebles de jardín";2;0
161;1;"Conjuntos de muebles de jardín";160;0
162;1;"Mesas de jardín plegables";160;0
163;1;"Mesas de jardín metal y aluminio";160;0
164;1;"Mesas de jardín ratán y resina";160;0
165;1;"Mesas de jardín de madera";160;0
166;1;"Sillas y butacas de jardín";160;0
167;1;"Sillas de jardín";166;0
168;1;"Sillas apilables de plástico";166;0
169;1;"Sillones de Jardín";166;0
170;1;"Butacas de Jardín";166;0
171;1;"Hamacas y tumbonas";160;0
172;1;Cojines;160;0
173;1;"Cojines sin respaldo";172;0
174;1;"Cojines con respaldo";172;0
175;1;"Carpas y pérgolas";160;0
176;1;"Balancines y bancos";160;0
177;1;"Baúles y arcones";160;0
178;1;"Parasoles y pies";160;0
179;1;"Fundas protectoras";160;0
180;1;"Casas de madera";160;0
181;1;"Casetas y cobertizos metálicos";160;0
182;1;"Casetas de resina";160;0
183;1;"Casetas para animales";160;0
184;1;"Mobiliario y juegos infantiles";160;0
185;1;"Armarios de resina";2;0
186;1;"Armarios escoberos de resina";185;0
187;1;"Armarios de resina medianos";185;0
188;1;"Armarios de resina altos";185;0
189;1;"Armarios de resina con persiana";185;0
190;1;"Taquillas de resina";185;0
191;1;"Estanterías de resina";185;0
192;1;Barbacoas;2;0
193;1;"Barbacoas de gas";192;0
194;1;"Barbacoas de carbón";192;0
195;1;"Parrillas de barbacoa";192;0
196;1;"Cajones de barbacoa";192;0
197;1;"Barbacoas eléctricas";192;0
198;1;"Accesorios de barbacoa";192;0
199;1;Piscinas;2;0
200;1;"Piscinas Gre";199;0
201;1;"Piscinas Gre con filtro de arena";200;0
202;1;"Piscinas Gre con filtro de cartucho";200;0
203;1;"Piscinas desmontables";199;0
204;1;"Duchas de jardín";199;0
205;1;"Bombas y depuradoras";199;0
206;1;"Accesorios para piscinas";199;0
207;1;"Productos químicos y cloros";199;0
208;1;"Limpiafondos piscinas";199;0
209;1;"Fundas cobertoras";199;0
210;1;"Pintura de piscinas";199;0
211;1;"Camping y playa";2;0
212;1;Insecticidas;211;0
213;1;Raticidas;212;0
214;1;"Repelentes para mosquitos";212;0
215;1;"Velas antimosquitos";212;0
216;1;"Anti plagas para hormigas";212;0
217;1;Cucarachas;212;0
218;1;Ahuyentadores;212;0
219;1;"Mosquiteras y cortinas";211;0
220;1;"Mosquiteras para ventana";219;0
221;1;"Mosquiteras para puerta";219;0
222;1;"Mosquiteras de fibra de vidrio";219;0
223;1;"Cortinas anti insectos";219;0
224;1;"Camping gas y hornillos";211;0
225;1;Linternas;211;0
226;1;"Cestas y bolsas de picnic";211;0
227;1;"Neveras y bolsas térmicas";211;0
228;1;"Termos y cantimploras";211;0
229;1;"Colchones de camping";211;0
230;1;Sombrillas;211;0
231;1;"Sillas y sillones de playa";211;0
232;1;"Accesorios de deporte y navajas";211;0
233;1;"Flotadores y colchonetas";211;0
234;1;"+ Jardinería";2;0
235;1;"Herramientas de jardín";234;0
236;1;Cortarramas;235;0
237;1;"Cortasetos manuales";235;0
238;1;"Tijeras cortacésped";235;0
239;1;"Tijeras de podar y navajas";235;0
240;1;"Cultivadores, binadores y aireadores";235;0
241;1;"Palas, picos y azadas";235;0
242;1;"Hachas, mazas, cuñas y piedras";235;0
243;1;"Herramientas infantiles";235;0
244;1;"Hoces y guadañas";235;0
245;1;"Mangos sueltos";235;0
246;1;"Rastrillos, escobas y accesorios";235;0
247;1;"Sierras y hojas de sierra";235;0
248;1;"Maquinaria de jardín";234;0
249;1;"Aspiradores y sopladores";248;0
250;1;Biotrituradores;248;0
251;1;Cortabordes;248;0
252;1;Cortasetos;248;0
253;1;"Motosierras eléctricas";248;0
254;1;"Motosierras de gasolina";248;0
255;1;"Cortacésped de gasolina";248;0
256;1;"Cortacésped eléctrico";248;0
257;1;"Cortacésped manual";248;0
258;1;Desbrozadoras;248;0
259;1;"Hidrolimpiadoras a presión";248;0
260;1;"Maquinaria agrícola";248;0
261;1;Motoazadas;248;0
262;1;Escarificadores;248;0
263;1;"Accesorios maquinaria de jardín";248;0
264;1;"Decoración jardín";234;0
265;1;"Césped artificial y losetas";264;0
266;1;"Velas decorativas para jardín";264;0
267;1;"Balizas solares";264;0
268;1;"Antorchas y guirnaldas de jardín";264;0
269;1;Macetas;264;0
270;1;Jardineras;264;0
271;1;"Estanques y accesorios para fuentes";264;0
272;1;"Figuras decorativas de jardín";264;0
273;1;"Casetas de Pájaros";264;0
274;1;"Productos de riego";234;0
275;1;"Programadores de riego";274;0
276;1;"Pistolas de riego y lanzariegos";274;0
277;1;"Distribuidores de riego";274;0
278;1;"Conexiones de goteo";274;0
279;1;"Conexiones de riego enterrado";274;0
280;1;Mangueras;274;0
281;1;"Carros portamangueras";274;0
282;1;"Kits de riego completos";274;0
283;1;Aspersores;274;0
284;1;"Riego gota a gota";274;0
285;1;Electroválvulas;274;0
286;1;"Tuberías de baja presión";274;0
287;1;Regadoras;274;0
288;1;"Depósitos de Agua";274;0
289;1;"Iluminación exterior";234;0
290;1;"Apliques de exterior";289;0
291;1;Farolas;289;0
292;1;"Focos halógenos";289;0
293;1;"Balizas de sobremuro";289;0
294;1;"Luz exterior de suelo";289;0
295;1;"Productos de cultivo";234;0
296;1;Herbicidas;295;0
297;1;"Abonos y fertilizantes";295;0
298;1;Compostadores;295;0
299;1;Semillas;295;0
300;1;"Pulverizadores y vaporizadores";295;0
301;1;Substratos;295;0
302;1;"Huertos urbanos";234;0
303;1;Animales;234;0
304;1;"Bombas de agua";234;0
305;1;"Bombas de transvase";304;0
